Rank,NOC,Gold,Silver,Bronze,Total,Year
1,0,11,7,2,20,0
2,1,10,18,19,47,0
3,2,6,5,2,13,0
4,3,5,4,2,11,0
5,4,2,3,2,7,0
6,5,2,1,3,6,0
7,6,2,1,2,5,0
8,7,2,0,0,2,0
9,8,1,2,3,6,0
10,9,1,2,0,3,0
11,10,1,0,1,2,0
1,3,27,39,37,103,1
2,0,19,14,15,48,1
3,4,15,7,9,31,1
4,10,8,5,6,19,1
5,11,6,7,4,17,1
6,9,6,2,1,9,1
7,2,4,3,2,9,1
8,12,3,2,0,5,1
9,7,2,0,3,5,1
10,8,1,3,2,6,1
11,5,1,2,2,5,1
12,13,1,1,0,2,1
13,14,1,0,1,2,1
14,15,1,0,0,1,1
14,16,1,0,0,1,1
16,6,0,3,3,6,1
17,17,0,2,3,5,1
17,18,0,2,3,5,1
19,19,0,2,0,2,1
20,20,0,1,1,2,1
21,21,0,0,1,1,1
1,0,76,78,77,231,2
2,2,4,5,6,15,2
3,14,4,1,1,6,2
4,13,3,0,0,3,2
5,5,2,1,1,4,2
5,10,2,1,1,4,2
7,17,2,0,0,2,2
8,6,1,1,1,3,2
9,4,1,1,0,2,2
10,9,1,0,2,3,2
11,1,1,0,1,2,2
12,7,0,3,1,4,2
13,3,0,1,0,1,2
1,4,56,51,39,146,3
2,0,23,12,12,47,3
3,21,8,6,11,25,3
4,3,5,5,9,19,3
5,2,3,5,5,13,3
6,5,3,4,2,9,3
7,14,3,3,10,16,3
8,17,2,3,3,8,3
9,12,2,2,0,4,3
10,11,1,5,2,8,3
11,22,1,2,2,5,3
12,23,1,2,0,3,3
13,24,1,1,3,5,3
14,25,1,1,0,2,3
15,1,0,3,1,4,3
16,8,0,2,3,5,3
17,20,0,0,2,2,3
17,18,0,0,2,2,3
19,6,0,0,1,1,3
1,0,26,19,19,64,4
2,21,23,25,17,65,4
3,4,10,15,16,41,4
4,24,9,8,9,26,4
5,3,7,4,3,14,4
6,2,5,13,7,25,4
7,25,4,2,0,6,4
8,17,3,2,5,10,4
9,14,3,2,3,8,4
9,5,3,2,3,8,4
11,12,3,1,2,6,4
12,22,2,2,3,7,4
13,11,2,1,3,6,4
14,8,1,6,5,12,4
15,1,1,0,1,2,4
16,23,0,2,3,5,4
17,6,0,2,2,4,4
18,18,0,0,3,3,4
1,0,41,27,27,95,5
2,21,19,20,25,64,5
3,24,15,10,9,34,5
4,4,14,15,13,42,5
5,11,14,11,11,36,5
6,17,13,9,9,31,5
7,12,13,5,5,23,5
8,3,9,19,13,41,5
9,18,4,2,5,11,5
10,8,3,9,1,13,5
11,25,3,4,3,10,5
12,14,3,3,3,9,5
13,9,2,2,7,11,5
14,26,1,2,0,3,5
15,27,1,1,1,3,5
16,7,0,2,1,3,5
17,28,0,2,0,2,5
17,15,0,2,0,2,5
19,1,0,1,0,1,5
19,16,0,1,0,1,5
21,29,0,0,2,2,5
22,30,0,0,1,1,5
1,0,45,27,27,99,6
2,24,14,13,10,37,6
3,3,13,15,10,38,6
4,4,9,13,12,34,6
5,12,8,3,5,16,6
6,9,7,8,10,25,6
7,17,5,2,3,10,6
8,21,4,13,12,29,6
9,18,4,1,5,10,6
10,11,3,7,3,13,6
